id_pedido,fecha_inicio,fecha_fin,cobertura,condiciones,estado
12345678-0,2024-10-3,2025-10-3,1 año de garantía,Cubre defectos de fabricación,1
23456789-1,2024-10-13,2025-10-13,1 año de garantía,Cubre defectos de fabricación,1
34567890-2,2024-10-20,2025-10-20,1 año de garantía,Cubre defectos de fabricación,1
45678901-3,2024-10-29,2025-10-29,1 año de garantía,Cubre defectos de fabricación,1
56789012-4,2024-11-5,2025-11-5,1 año de garantía,Cubre defectos de fabricación,1
67890123-5,2024-11-7,2025-11-7,1 año de garantía,Cubre defectos de fabricación,1
78901234-6,2024-11-16,2025-11-16,1 año de garantía,Cubre defectos de fabricación,1
89012345-7,2024-11-26,2025-11-26,1 año de garantía,Cubre defectos de fabricación,1
90123456-8,2024-12-22,2025-12-22,1 año de garantía,Cubre defectos de fabricación,1
01234567-9,2024-12-24,2025-12-24,1 año de garantía,Cubre defectos de fabricación,1
90123456-8,2024-12-30,2025-12-30,1 año de garantía,Cubre defectos de fabricación,1
38038539-1,2024-12-04,2025-12-04,1 año de garantía,Cubre defectos de fabricación,1
21328672-0,2024-11-19,2025-11-19,1 año de garantía,Cubre defectos de fabricación,1
94265192-3,2024-12-02,2025-12-02,1 año de garantía,Cubre defectos de fabricación,1
10803393-6,2024-11-30,2025-11-30,1 año de garantía,Cubre defectos de fabricación,1
57868625-1,2024-12-18,2025-12-18,1 año de garantía,Cubre defectos de fabricación,1
20275164-2,2024-12-18,2025-12-18,1 año de garantía,Cubre defectos de fabricación,1
21568048-5,2024-11-27,2025-11-27,1 año de garantía,Cubre defectos de fabricación,1
72262353-8,2024-12-05,2025-12-05,1 año de garantía,Cubre defectos de fabricación,1
84866804-3,2024-11-26,2025-11-26,1 año de garantía,Cubre defectos de fabricación,1
45042009-3,2024-12-09,2025-12-09,1 año de garantía,Cubre defectos de fabricación,1
